Time;Load_1;Load_2;Disp_1;Disp_2;E11;E22
0.21821;-0.15355;0.00301;0.00914;0.00914;9.111940709405353e-06;-0.00027164039117011374
0.46463;-0.10968;0.00301;0.01915;0.01067;0.00037353514976867785;-0.00011090715281547592
0.7045;-0.10654;0.01202;0.02838;0.01286;0.0006084458435535733;2.8873110153981862e-05
0.9388;-0.12221;0.01202;0.03848;0.01553;0.0008295436908433151;7.062893709619544e-05
1.18724;0.0;0.03306;0.05144;0.01905;0.001257801922581514;0.00019910173713721946
1.44907;0.06581;0.03006;0.0602;0.02305;0.0022142307223811386;0.0009775845544419681
1.69326;0.08147;0.02405;0.06648;0.02772;0.0018005669278859937;0.0003880782275417216
1.93278;0.11281;0.03607;0.07315;0.03334;0.0021201954872137607;0.0011040379146667334
2.1737;0.11594;0.03908;0.07953;0.03943;0.002929613427249067;0.0015854460630855272
2.40967;0.12848;0.05711;0.08687;0.04629;0.003154543306824409;0.001565587984238781
2.66781;0.06894;0.04809;0.09554;0.0541;0.0032801240272790633;0.0015693220367637428
2.92385;-0.07834;0.06312;0.10658;0.06344;0.0036421571230458305;0.0017012902424246024
3.16061;-0.06581;0.07214;0.1184;0.07287;0.003896083235254366;0.0016302976740728559
3.41993;-0.05954;0.09919;0.13526;0.08401;0.004325204879684907;0.002061607485621786
3.6633;-0.03134;0.10821;0.15478;0.09525;0.005316198974541719;0.002310605028004842
3.90468;0.01567;0.10821;0.17812;0.10716;0.006392122591436844;0.0024734988688821513
4.16481;0.04074;0.14729;0.20622;0.12049;0.007845180420588904;0.003738883310553387
4.43005;0.23502;0.16532;0.23555;0.13497;0.008433933563048446;0.004191203460164217
4.66905;0.21309;0.17735;0.26232;0.14859;0.010060280135355648;0.005009700551352414
4.90721;0.15668;0.20741;0.28718;0.16269;0.011989376583005584;0.006388790632627206
5.153;0.30396;0.21642;0.31128;0.17774;0.013015702100510063;0.006413460546098149
5.39514;0.28829;0.24047;0.33471;0.19288;0.01426624182712355;0.0067826168989618685
5.63518;0.28829;0.24949;0.35633;0.20841;0.015653745983962852;0.0075777011806640315
5.87745;0.20369;0.26151;0.379;0.22469;0.01585710721411515;0.007953416269633529
6.1274;0.26636;0.31562;0.40291;0.24194;0.016713008140804786;0.00801042707864219
6.36927;0.3259;0.33967;0.42701;0.25927;0.017137056565682207;0.009151311931730133
6.61503;0.36037;0.35169;0.45358;0.27746;0.01873721831145747;0.009783880604548378
6.86949;0.3729;0.38776;0.48225;0.29642;0.01997283327794508;0.010888639326659844
7.10568;0.25696;0.41782;0.50949;0.31452;0.02163699955596665;0.011733158077676054
7.36274;0.20369;0.42383;0.53873;0.33423;0.02264914979563626;0.012002765229669254
7.593;0.44811;0.47794;0.56645;0.35233;0.02276030175543442;0.011985578402247898
7.83909;0.30709;0.48395;0.59912;0.37205;0.023322940381103385;0.012889265898943236
8.07542;0.42931;0.52303;0.63113;0.3911;0.025330689303573295;0.01369721775486965
8.32492;0.29143;0.54707;0.66732;0.41148;0.02691754524444201;0.014764944903063237
8.56317;0.30083;0.5591;0.70161;0.43139;0.029069552497092976;0.015528960935831781
8.81981;0.3541;0.60118;0.73914;0.45291;0.030952269793964593;0.017104308042522165
9.09196;0.54838;0.64025;0.78286;0.47625;0.032184343327950726;0.018084950174897862
9.33589;0.52018;0.65829;0.82325;0.4974;0.03285467264905495;0.01883919486729957
9.5804;0.3823;0.69737;0.86392;0.51873;0.034632687878402346;0.020105328027279823
9.82164;0.3823;0.71841;0.90326;0.54026;0.035843187672719656;0.020512964565182812
10.11311;0.63926;0.76951;0.95164;0.56626;0.03840243136384003;0.022260709781049437
10.36636;0.49825;0.78153;0.99508;0.58903;0.03959021730065526;0.02250999641315976
10.61223;0.67059;0.82061;1.03784;0.61122;0.04184710666639013;0.02365099641445978
10.85163;0.69253;0.85367;1.08166;0.63303;0.044883000657793715;0.02503999831809056
11.10205;0.47318;0.8687;1.12557;0.65599;0.047297415517746244;0.0265874242688805
11.3437;0.47944;0.91079;1.16596;0.67808;0.04821490015442387;0.027362646470265206
11.59537;0.75207;0.94385;1.21139;0.70133;0.05151384887816857;0.029046345468229373
11.83542;0.7552;0.97992;1.25701;0.72371;0.053025514077498115;0.030174322793293573
12.08829;0.66433;1.00096;1.30588;0.74733;0.0551234714188813;0.031015133730480593
12.34502;0.61106;1.03703;1.35655;0.77133;0.05816643445411085;0.03227393550876845
12.57879;0.73013;1.05206;1.40227;0.79324;0.06109353884707314;0.03363943983768525
12.83314;0.86801;1.08212;1.45199;0.81715;0.06309906829708134;0.03494773136735063
13.09816;0.82414;1.11519;1.506;0.8423;0.06576073690291095;0.036587492248414843
13.34891;0.79907;1.13322;1.55743;0.8662;0.06893033667324;0.0380129328868366
13.59856;0.83041;1.16629;1.60877;0.8903;0.07112625853691223;0.038750289668519566
13.84586;0.74267;1.20236;1.65906;0.9145;0.07487826384156859;0.04090032749936445
14.09154;0.93382;1.24143;1.70926;0.9385;0.07677291405532705;0.04171882850752495
14.33907;0.92755;1.2745;1.76317;0.96279;0.07944465277685875;0.043377825251587177
14.57676;1.00276;1.31658;1.81566;0.98631;0.08163840759117047;0.044317157164251775
14.82908;0.92128;1.3256;1.87138;1.01098;0.08554421295366899;0.04621369891490135
15.07607;1.0811;1.36768;1.92557;1.03508;0.08833849751266387;0.04760754986300575
15.31415;1.11243;1.38271;1.9771;1.05804;0.09084018454169485;0.04874665320595417
15.55778;1.07796;1.41277;2.02844;1.0808;0.09347393338256405;0.05002676376855808
15.79958;1.01843;1.43682;2.07769;1.1028;0.0972094632532553;0.05202924519673868
16.08866;1.04349;1.46988;2.13608;1.12852;0.1010904002914772;0.053567305437593804
16.34685;0.99649;1.49092;2.18723;1.15062;0.10349374809011425;0.054967658299855726
16.59791;1.18764;1.50896;2.2379;1.17148;0.1071604050997349;0.05707181962628527
16.84756;1.0623;1.54503;2.29029;1.19139;0.10973892473950952;0.0576578332882256
17.09184;1.22524;1.54803;2.34058;1.21025;0.11293247626259462;0.05878734503396266
17.33652;1.29732;1.59312;2.39068;1.22815;0.11520894115823355;0.05990197549977738
17.58732;1.08737;1.5811;2.44069;1.24616;0.11841430239089357;0.06152094869493829
17.83721;1.31925;1.59913;2.48669;1.26321;0.12207510906862806;0.06304417189476108
18.09233;1.29418;1.62018;2.53517;1.27987;0.12445580826937264;0.06447181527073498
18.33852;1.33492;1.65023;2.57908;1.2955;0.12858940664413587;0.06559995243453642
18.59174;1.31299;1.65324;2.62395;1.31102;0.13115782139520527;0.06726415361064964
18.88765;1.18764;1.66526;2.67595;1.32864;0.13369492989814113;0.0683274787766559
19.13605;1.4258;1.65625;2.71691;1.34255;0.1367419875414121;0.06975925415970885
19.38238;1.28165;1.69232;2.75911;1.35569;0.139034603935133;0.07043000837119995
19.62304;1.26285;1.69532;2.7993;1.36827;0.14194795485306755;0.07187435166491607
19.88158;1.35686;1.70735;2.84321;1.38122;0.14532530189933923;0.07340180036914912
20.12856;1.30672;1.71937;2.88598;1.39303;0.14695015400984757;0.07362669305822711
20.3769;1.4822;1.71636;2.92713;1.40456;0.1499428721134879;0.07486865127207121
20.62636;1.28792;1.72538;2.9699;1.41532;0.1526804913081692;0.07598201253941228
20.8769;1.53547;1.74943;3.01085;1.4258;0.15659176452785661;0.0773951227736106
21.24004;1.44146;1.69833;3.02647;1.4278;0.15952736264988876;0.078474049386979
21.48153;1.38819;1.65324;3.03009;1.42037;0.15839069866382138;0.07757579165631057
21.75366;1.454;1.62919;3.03133;1.41122;0.15862476987734908;0.07762801899987248
21.98782;1.23151;1.57509;3.03228;1.40275;0.15849307850465089;0.07745633200785307
22.22095;1.33179;1.55705;3.03019;1.39408;0.15903862916102474;0.07716321037722629
22.45353;1.37879;1.53;3.03047;1.3857;0.15823268695302284;0.0769065406883791
22.68543;1.19077;1.49693;3.03105;1.37751;0.15867087959944548;0.0761558825815849
22.91555;1.41013;1.47289;3.03066;1.36941;0.15889684356056244;0.07624213394640345
23.16024;1.35999;1.46988;3.03238;1.36093;0.15878702669556521;0.07619873986016512
23.40504;1.16571;1.41577;3.03076;1.35217;0.1581630777316657;0.07549152662111447
23.64587;1.15004;1.40075;3.02762;1.34331;0.15711687759133786;0.0742831820490043
23.88246;1.25658;1.37069;3.02581;1.33464;0.15741806801979152;0.0752127313514922
24.14227;1.24091;1.34363;3.02314;1.32483;0.1565603681836809;0.07401700451639637
24.38357;1.19391;1.3286;3.02133;1.3155;0.1577307593174463;0.07439025066143434
24.62389;1.1563;1.30155;3.01971;1.30626;0.15645575098640663;0.07341487705494809
24.89128;1.17824;1.28051;3.01619;1.29569;0.1565803538381838;0.07339872579415851
25.14514;1.11557;1.25346;3.01133;1.2854;0.15634561062819863;0.0728108152932414
25.4025;1.19704;1.2264;3.00609;1.27464;0.15555247951275697;0.0722555088424377
25.64013;1.25031;1.20536;3.00152;1.26444;0.15535714206032303;0.07198353650379352
25.90043;1.25031;1.1723;2.99504;1.25311;0.15633252764644356;0.07179752717582699
26.13972;1.25345;1.16629;2.98666;1.24254;0.15392521189761355;0.07086110425895864
26.3924;1.1187;1.11519;2.97542;1.23111;0.153535867872032;0.07053763229880727
26.63721;1.24405;1.09715;2.96151;1.21987;0.15309011764421587;0.06992098789238343
26.8775;1.22838;1.0731;2.94732;1.20863;0.1511171034479334;0.06854194184466533
27.11618;1.21271;1.04605;2.93189;1.19748;0.15071463346434077;0.06847137455138474
27.36975;0.98082;1.01599;2.91417;1.18529;0.14971999159557225;0.06786031837742312
27.61364;1.05916;0.98293;2.89627;1.17367;0.14945508118577777;0.06761914116613965
27.89151;0.96829;0.96489;2.87598;1.16014;0.1479747152352373;0.06655552027450518
28.14222;1.03409;0.93483;2.85836;1.14786;0.14693446684181222;0.06581838879546942
28.37936;1.0905;0.9168;2.84331;1.13605;0.1462556359584678;0.0653181073343273
28.61841;1.07483;0.89876;2.82902;1.12414;0.14476057557122213;0.06444299540202303
28.86036;1.04349;0.87471;2.81188;1.11195;0.14344624444314014;0.06355967672817431
29.10844;0.83041;0.82361;2.79254;1.09909;0.14194673309384853;0.06268955546374821
29.3619;0.95575;0.80558;2.77035;1.08671;0.14117612999971074;0.062483109596962905
29.61113;0.82101;0.79055;2.74949;1.07452;0.1394148852295568;0.06163601979516298
29.85414;0.91502;0.7635;2.7291;1.06328;0.13863853688562533;0.06075469870481276
30.10994;0.7364;0.73945;2.70948;1.05146;0.13721386931519441;0.05981028319808601
30.37023;0.727;0.70939;2.68967;1.03927;0.13534026096308804;0.05902332604120042
30.66129;0.88681;0.67933;2.667;1.02537;0.13395363538988603;0.05820331821380198
30.90402;0.76774;0.6643;2.64928;1.01346;0.13295955302126872;0.057841612641128304
31.14777;0.66433;0.62222;2.62928;1.00146;0.132260277174868;0.056969293993990644
31.39149;0.67686;0.61621;2.60966;0.98917;0.12954269712516453;0.05559392810732533
31.63789;0.86174;0.59517;2.58918;0.97679;0.12948199976613628;0.05499335661911531
31.9014;0.81161;0.57713;2.56651;0.96326;0.12701595832963397;0.05380691717729136
32.14526;0.64866;0.54407;2.54422;0.9505;0.12655699995192793;0.053423884184500614
32.38854;0.56405;0.52603;2.51993;0.93755;0.12456959378775734;0.05219835476752699
32.63973;0.77714;0.49898;2.49355;0.92383;0.12312057134037857;0.05133447974667937
32.88633;0.57032;0.47794;2.46745;0.91021;0.12140362048625353;0.05051506313740706
33.14036;0.75207;0.46291;2.43992;0.89592;0.11996312007059395;0.05004932591252842
33.42994;0.48258;0.42383;2.41021;0.87935;0.11750821307211967;0.04847481671494924
33.67565;0.61732;0.39978;2.3823;0.86506;0.11598607795109395;0.047438338268267044
33.93164;0.44497;0.38475;2.3522;0.84992;0.11281590728829227;0.046390387162855706
34.17423;0.53898;0.35169;2.32429;0.83534;0.11145009359685187;0.045341453295419276
34.43007;0.40737;0.33365;2.29476;0.81982;0.11039948851614301;0.04455508801712427
34.6751;0.54212;0.33365;2.26762;0.80477;0.10765780644857836;0.04371204071788104
34.92553;0.45751;0.30059;2.23923;0.78915;0.10559213485132235;0.042839689103081446
35.17032;0.3635;0.28255;2.21066;0.77343;0.10470170954829572;0.04187067137775968
35.42354;0.48884;0.27354;2.17961;0.75705;0.10331622769604176;0.04135590037778414
35.67676;0.48884;0.24348;2.14922;0.74028;0.1006854279222249;0.040002605710255046
35.93217;0.3165;0.22544;2.11569;0.72285;0.09839182251920842;0.03830185892718496
36.18238;0.47631;0.18637;2.08188;0.70552;0.09787755369304885;0.03760804652880223
36.47422;0.35097;0.18937;2.04359;0.68523;0.0944680836716465;0.03675081929811019
36.73343;0.29456;0.16833;2.00739;0.66742;0.09188527078195485;0.03550084055036917
36.98596;0.26009;0.14729;1.97368;0.65037;0.09073056941050972;0.034457955089686854
37.24136;0.42304;0.12925;1.94167;0.63332;0.0878927961211955;0.03357037128619367
37.51007;0.18488;0.10821;1.90833;0.6156;0.08565917262627876;0.032669986326153366
37.76458;0.30396;0.09919;1.87728;0.59912;0.08332917806168005;0.03154447891836254
38.0304;0.16295;0.07815;1.84671;0.58207;0.08207598595433752;0.030708781849055233
38.28833;0.15355;0.06312;1.8167;0.56588;0.08045052169685563;0.029895534356091602
38.53504;0.24129;0.06312;1.78889;0.55064;0.07874246459497503;0.028906455188621893
38.79718;0.30396;0.05711;1.76251;0.53473;0.07773716342661197;0.02864305911206888
39.05087;0.10654;0.0511;1.7365;0.51959;0.07594494825532205;0.027646719098507466
39.33943;0.31963;0.03908;1.7064;0.50244;0.073882846908922;0.025925927043415453
39.59455;0.15981;0.04208;1.68031;0.48749;0.07269855288155502;0.026216596063306064
39.85227;0.07521;0.02705;1.65173;0.47234;0.07139129490576657;0.025367467609545225
40.12256;0.25382;0.00601;1.62258;0.45663;0.06962033962663006;0.02484164760940233
40.37942;0.26636;0.01202;1.59763;0.44186;0.06900767727073587;0.024088014218388132
40.64077;0.24442;0.00902;1.5702;0.4271;0.06618827154336504;0.023153599294073346
40.89459;0.08461;-0.01202;1.5441;0.41291;0.06587221130954712;0.022699684919129104
41.14463;0.16922;-0.01503;1.51714;0.399;0.06446197343847337;0.022166097814298347
41.38785;0.0376;-0.02705;1.49057;0.38576;0.06288209880069806;0.02148229668034185
41.63605;0.14415;-0.02705;1.46447;0.37243;0.06118236285829948;0.02053224446828117
41.87701;0.16295;-0.02405;1.44151;0.35966;0.0594262164103172;0.02018350251260803
42.14872;-0.0376;-0.02104;1.41722;0.34557;0.05809813436726696;0.019896636139488666
44.50678;0.15355;0.02705;1.50505;0.38405;0.05903215370538184;0.020378093003118214
44.75884;0.28829;0.02104;1.5059;0.38691;0.06164770988370727;0.020806907563609034
44.99751;0.24442;0.03607;1.50447;0.38872;0.06186753465162054;0.020827016456584357
45.24361;0.25069;0.04509;1.50228;0.39081;0.06180944044149972;0.02110119759518425
45.49891;0.27576;0.03607;1.50009;0.39338;0.06133021857995602;0.021140285831553474
45.74431;0.21622;0.03306;1.49571;0.39614;0.06099196791341854;0.021161070247598168
45.99056;0.05014;0.03908;1.49085;0.39948;0.060795006811849905;0.021079505719390323
46.25531;0.15041;0.04208;1.48771;0.40367;0.060942593822028934;0.021157332651622007
46.4992;0.28516;0.0511;1.48847;0.40824;0.06110647885011078;0.02146930600139918
46.76328;0.25696;0.03607;1.4919;0.41367;0.06043816732232388;0.02088628380242752
47.00251;0.29143;0.0511;1.49628;0.41939;0.06082591375636315;0.020911977202907495
47.27356;0.10968;0.06613;1.50219;0.42672;0.06132970829152895;0.021564074122925714
47.52747;0.13161;0.07214;1.50609;0.43415;0.061076477707510124;0.021920053509595916
47.76561;0.22249;0.07815;1.51152;0.44196;0.062462163196736364;0.022308291511577094
48.01177;0.07521;0.08116;1.52029;0.45063;0.0623601818814743;0.022594117436932848
48.2623;0.30709;0.10821;1.53105;0.46006;0.0635907595101588;0.02368292491987989
48.50985;0.11594;0.1022;1.54581;0.47006;0.06364816786920469;0.02361698111573285
48.76705;0.20682;0.12925;1.5602;0.48111;0.06478995254388686;0.024082787551906293
49.01357;0.16608;0.1533;1.57563;0.49235;0.06612663831616783;0.02481881768974148
49.26771;0.20369;0.15029;1.59344;0.50454;0.06717716016088793;0.025519640394149334
49.51606;0.26322;0.18637;1.61115;0.51711;0.06787171695282346;0.0257959846860345
49.76442;0.34783;0.19238;1.63173;0.53026;0.06808343052790788;0.026006435323419175
50.03653;0.31963;0.22244;1.65392;0.54521;0.06926196912165017;0.02681460446913897
50.28802;0.25696;0.23747;1.67459;0.55969;0.0710498707646926;0.0275525178555327
50.54874;0.26009;0.24648;1.69545;0.57521;0.07169040358164114;0.027783942053926647
50.79594;0.32903;0.29157;1.71621;0.59055;0.07301671709147706;0.028233039554962147
51.04271;0.48258;0.28857;1.7386;0.60646;0.07342140158147581;0.02852018555600877
51.2876;0.32903;0.3036;1.76241;0.62255;0.07560574284589205;0.03010038610567911
51.53444;0.32903;0.35169;1.78613;0.63941;0.07660949976754838;0.03051520009812081
51.79365;0.32903;0.37874;1.81194;0.65789;0.07887060791746148;0.031816992623478035
52.04059;0.56718;0.42082;1.83699;0.6758;0.0794380945524058;0.03262113137850664
52.28601;0.48884;0.41181;1.86376;0.69418;0.08128822672316205;0.033693066008428696
52.53101;0.3635;0.4569;1.89081;0.71276;0.08265134072706537;0.03390585538015156
52.80373;0.59852;0.48996;1.92072;0.7339;0.08343921060325055;0.03481993448679288
53.06043;0.61732;0.511;1.95005;0.75419;0.08594673222691485;0.036255879276208436
53.30238;0.63926;0.53505;1.97625;0.77372;0.08651698214537418;0.036887377329215765
53.55514;0.49198;0.57112;2.00435;0.79458;0.08847345950047725;0.037901448079553424
53.80348;0.67059;0.6102;2.03187;0.81553;0.0913279651482749;0.03891112905055105
54.05225;0.49198;0.61621;2.05931;0.83668;0.09226918282373142;0.039497870888065
54.29454;0.53898;0.66731;2.08683;0.85773;0.09401956610942064;0.04106565447159227
54.54622;0.61419;0.68534;2.11855;0.87992;0.09534559781333529;0.04196263881614992
54.78885;0.57345;0.72743;2.15189;0.90154;0.0973447103421815;0.043150856212973876
55.03048;0.54212;0.76049;2.18542;0.92345;0.0991665948649435;0.044427446836701745
55.27294;0.58599;0.79957;2.22161;0.94545;0.10151620541907225;0.0454717843565251
55.51401;0.65179;0.83263;2.25885;0.96764;0.10439524681630297;0.046901141019217385
55.79286;0.64239;0.8657;2.30343;0.99374;0.107095121234271;0.047990553592574425
56.03589;0.75207;0.90477;2.34353;1.0166;0.10946587274998099;0.04966317553081212
56.27457;0.7458;0.94686;2.38373;1.03908;0.11156262791399973;0.05071841326806781
56.51947;0.96202;0.99495;2.42411;1.06223;0.11306454833168922;0.05204075984145218
56.77204;0.75207;1.022;2.46555;1.08623;0.11703021520905776;0.05405167020061574
57.01132;0.79594;1.0701;2.50288;1.109;0.12029158626733216;0.05585187344094533
57.25537;0.87428;1.10917;2.54098;1.13224;0.12169534851994934;0.05651363454839309
57.49917;1.02783;1.14825;2.58023;1.15538;0.12456601877998208;0.057640869896677716
57.74341;1.09363;1.19634;2.61957;1.17843;0.1263445970195174;0.058712101285462004
57.98502;1.0811;1.24744;2.65928;1.20129;0.12974372029298042;0.06096000011466596
58.23285;0.92442;1.26548;2.69758;1.22463;0.13223004714616615;0.06228356463944129
58.47415;0.96829;1.30155;2.73282;1.24701;0.13460112966862492;0.06393033078697752
58.75878;1.17824;1.38271;2.77559;1.27349;0.13662509384528476;0.0648294537592401
59.01776;1.18137;1.41277;2.81702;1.2975;0.13920929671192372;0.0662144481875282
59.26213;1.28478;1.45786;2.85683;1.31997;0.1415934837790428;0.06781825901648786
59.50559;1.27225;1.49693;2.89674;1.34207;0.14487686315435788;0.06980895703351064
59.75491;1.1469;1.52699;2.9338;1.36398;0.14760107748150042;0.07121058462037255
59.99727;1.24091;1.56306;2.96637;1.38436;0.14969051466751004;0.07253321681911062
60.23785;1.30672;1.59913;2.99942;1.40408;0.151172152558245;0.0734949720647099
60.48055;1.40386;1.62619;3.03209;1.42303;0.1529586710404488;0.0742934955801311
60.72307;1.454;1.67128;3.06476;1.44132;0.15560563948228323;0.07562600058085156
60.97393;1.24091;1.69232;3.09734;1.45961;0.15713999643734067;0.07662151704611464
61.21537;1.26912;1.71636;3.12506;1.47628;0.1598458217017551;0.07780826434473143
61.4591;1.4352;1.74041;3.15306;1.49238;0.16225623732499916;0.0787075619686991
61.75698;1.37566;1.75243;3.18811;1.51114;0.16327248885644052;0.07929922305157044
62.01042;1.31925;1.78249;3.21764;1.52629;0.16556273780152353;0.08107296879443748
62.27487;1.34432;1.80353;3.24964;1.54153;0.16804339728353823;0.08156370790939271
62.53278;1.34746;1.80654;3.28012;1.55553;0.16918802208044936;0.08221717186647759
62.77244;1.37879;1.80654;3.30746;1.56782;0.17102253050449912;0.08311529506026782
63.02875;1.4634;1.83059;3.33823;1.58058;0.17225533023852602;0.08387088272411647
63.27579;1.43206;1.84261;3.36785;1.5921;0.17530098151713713;0.08513900251616846
63.52858;1.48847;1.84261;3.39662;1.60344;0.17637538137628006;0.08551600688749172
63.77641;1.44773;1.86365;3.42357;1.61401;0.17836062742807013;0.08613339056508795
64.03411;1.41013;1.87267;3.45015;1.62449;0.17997626258995214;0.08693413486026835
64.27636;1.45713;1.86966;3.47415;1.63373;0.18155165377223392;0.08771178905848065
64.51861;1.58248;1.86365;3.49891;1.6424;0.1827069510187127;0.08803635333141224
64.85903;1.54487;1.82458;3.50168;1.64201;0.18485231655216616;0.08899568874748054
65.11184;1.39133;1.77348;3.50177;1.63392;0.1841921493624913;0.08845138076820336
65.34781;1.5198;1.73741;3.49977;1.62563;0.18356303077589797;0.08783679426595592
65.59466;1.36939;1.70133;3.49672;1.61658;0.18304164909578557;0.08735346199388538
65.84911;1.4446;1.67428;3.49139;1.60696;0.18340711714617153;0.08755856010228602
66.09311;1.31612;1.62318;3.48758;1.59772;0.18231378123918707;0.08635621757002021
66.33965;1.47907;1.60515;3.48367;1.58839;0.1831012781713015;0.08636808748527702
66.57791;1.38193;1.56908;3.47967;1.57915;0.18399244006720117;0.08641074914841418
66.82286;1.52921;1.55705;3.47472;1.56962;0.18201629410131304;0.08569455074262844
67.07802;1.35686;1.51798;3.46815;1.55943;0.18214462265518538;0.08501094405241538
67.32591;1.4728;1.4789;3.45938;1.54943;0.18179362854284276;0.08429773371414884
67.62795;1.39446;1.45185;3.44624;1.53676;0.18005166306925213;0.08381444017509498
67.87354;1.22524;1.41277;3.43405;1.52629;0.18009874970016038;0.08334284806576886
68.12024;1.35059;1.39173;3.42014;1.51552;0.17990588541579156;0.08292882340819963
68.3627;1.40386;1.37069;3.40871;1.50485;0.17736060068529247;0.08189819163963996
68.6176;1.18451;1.33462;3.39547;1.49352;0.17648943765783098;0.08133306159240505
68.86909;1.25971;1.31357;3.38166;1.48199;0.17601900487943867;0.0807453403366124
69.11506;1.0999;1.26849;3.36937;1.47066;0.1762489738737436;0.08069648306373878
69.35856;1.19391;1.23843;3.35547;1.45904;0.1741400689967002;0.07971403047671866
69.60956;1.23151;1.21739;3.3428;1.44704;0.17314478032913527;0.07848273340380141
69.85878;1.1563;1.19033;3.33127;1.43485;0.17210798503684877;0.07771434262254895
70.10882;1.19391;1.15727;3.31803;1.42265;0.17256475561906792;0.07767778323408625
70.35042;1.1563;1.14524;3.30489;1.4117;0.17196697268694583;0.0771369769083513
70.61998;1.14064;1.11519;3.28746;1.39951;0.17028635059878705;0.07657085354705051
70.87092;1.0623;1.07912;3.27022;1.38789;0.16938440066396943;0.07557360596471274
71.1159;0.96829;1.05206;3.25288;1.37627;0.16873634969995766;0.07544061212966158
71.36808;1.15004;1.00998;3.23488;1.36417;0.16770802124957884;0.07448162598819708
71.61841;0.95889;0.97992;3.21821;1.35179;0.16559237534064275;0.07366046810729865
71.86652;1.1563;0.96489;3.2003;1.3395;0.16431346625866483;0.07263433845650247
72.11604;0.88681;0.93183;3.18316;1.32702;0.16331491088615646;0.07238603079436523
72.35876;0.93695;0.91079;3.16392;1.31474;0.16280506150439822;0.07139538529027811
72.62216;1.01843;0.87171;3.14249;1.30121;0.16020001542016282;0.07026853405321432
72.8699;0.95889;0.85668;3.12344;1.28835;0.15905524992125553;0.06960810826256825
73.11313;0.84921;0.82361;3.10258;1.27549;0.15827424758165076;0.06878879412864658
73.36277;0.98709;0.79957;3.0821;1.26206;0.1568058316156219;0.06800371383809334
73.65207;0.85234;0.7635;3.05724;1.24644;0.15484300240903226;0.06682272628280983
73.90358;0.95262;0.72743;3.03324;1.23254;0.15355080955247358;0.06605779256797195
74.15108;0.85234;0.71841;3.01019;1.21872;0.1516407396556252;0.06535673785092133
74.40689;0.94009;0.68534;2.98475;1.20434;0.14944867661895322;0.06365896803415294
74.65355;0.71446;0.64927;2.95847;1.19024;0.14821341657794118;0.06316280993181023
74.90954;0.86174;0.62823;2.93037;1.17548;0.1465650788516768;0.06225744878609907
75.16791;0.86174;0.61621;2.90198;1.16043;0.14527304761502258;0.06113359484027736
75.41421;0.62359;0.57112;2.87274;1.14595;0.14324622799303277;0.06025755187030157
75.66669;0.83981;0.55308;2.83874;1.13081;0.14051284334280778;0.05875322452697074
75.9122;0.66433;0.511;2.80873;1.11614;0.1375032628446532;0.05732532169871718
76.15825;0.54212;0.49597;2.77482;1.10109;0.1356485733847429;0.056439246921530684
76.44041;0.57345;0.4599;2.73701;1.08366;0.13378636393611598;0.05556833892035973
76.69023;0.67059;0.44487;2.70662;1.06813;0.13206637095566398;0.0546739167453304
76.93728;0.48571;0.42684;2.67548;1.0527;0.1308419506590054;0.05395604639066798
77.18606;0.68626;0.39978;2.64481;1.03699;0.12771814635343604;0.0525716872225378
77.43043;0.61419;0.36972;2.61566;1.02137;0.1257930504203758;0.051263180657484475
77.68126;0.49198;0.35169;2.58185;1.00498;0.12317408978247091;0.04968438660635022
77.93241;0.50765;0.33065;2.54546;0.9885;0.12106372503901008;0.04902957868897784
78.18518;0.58599;0.32163;2.50965;0.97174;0.11878330707785112;0.04763298585523745
78.43479;0.35723;0.28556;2.47202;0.95488;0.11616312504119408;0.04636673788616397
78.68489;0.52958;0.27053;2.43402;0.93783;0.1144379594938485;0.04557393612411165
